timestamp,link,util_bps,capacity_bps,util_pct,congested
13:50:03,s2-s4,10047688,5000000,201.0,1
13:50:05,s1-s2,12141836,10000000,121.4,1
13:50:05,s2-s3,16173416,10000000,161.7,1
13:50:05,s3-s4,13134100,10000000,131.3,1
13:50:05,s1-s5,8086708,5000000,161.7,1
13:50:05,s5-s3,8105384,5000000,162.1,1
13:50:05,s2-s4,10043628,5000000,200.9,1
13:50:07,s1-s2,12145084,10000000,121.5,1
13:50:07,s2-s3,16140124,10000000,161.4,1
13:50:07,s3-s4,13130040,10000000,131.3,1
13:50:07,s1-s5,8090768,5000000,161.8,1
13:50:07,s5-s3,8111068,5000000,162.2,1
13:50:07,s2-s4,10056900,5000000,201.1,1
13:50:09,s1-s2,12129852,10000000,121.3,1
13:50:09,s2-s3,16106552,10000000,161.1,1
13:50:09,s3-s4,13123208,10000000,131.2,1
13:50:09,s1-s5,8090096,5000000,161.8,1
13:50:09,s5-s3,8094156,5000000,161.9,1
13:50:09,s2-s4,10047016,5000000,200.9,1
13:50:11,s1-s2,12153204,10000000,121.5,1
13:50:11,s2-s3,16097088,10000000,161.0,1
13:50:11,s3-s4,13125980,10000000,131.3,1
13:50:11,s1-s5,8098888,5000000,162.0,1
13:50:11,s5-s3,8106196,5000000,162.1,1
13:50:11,s2-s4,10046064,5000000,200.9,1
13:50:13,s1-s2,12151580,10000000,121.5,1
13:50:13,s2-s3,16132816,10000000,161.3,1
13:50:13,s3-s4,13121108,10000000,131.2,1
13:50:13,s1-s5,8097264,5000000,161.9,1
13:50:13,s5-s3,8100512,5000000,162.0,1
13:50:13,s2-s4,10043628,5000000,200.9,1
13:50:15,s1-s2,12141836,10000000,121.4,1
13:50:15,s2-s3,16110080,10000000,161.1,1
13:50:15,s3-s4,13117860,10000000,131.2,1
13:50:15,s1-s5,8094828,5000000,161.9,1
13:50:15,s5-s3,8101324,5000000,162.0,1
13:50:15,s2-s4,10041192,5000000,200.8,1
13:50:17,s1-s2,12147520,10000000,121.5,1
13:50:17,s2-s3,16155552,10000000,161.6,1
13:50:17,s3-s4,13121920,10000000,131.2,1
13:50:17,s1-s5,8098888,5000000,162.0,1
13:50:17,s5-s3,8101324,5000000,162.0,1
13:50:17,s2-s4,10046064,5000000,200.9,1
13:50:19,s1-s2,12150768,10000000,121.5,1
13:50:19,s2-s3,16198588,10000000,162.0,1
13:50:19,s3-s4,13123544,10000000,131.2,1
13:50:19,s1-s5,8102136,5000000,162.0,1
